coverage,accuracy
0.005,1.0
0.01,1.0
0.015,1.0
0.02,1.0
0.025,1.0
0.03,1.0
0.035,1.0
0.04,1.0
0.045,1.0
0.05,1.0
0.055,1.0
0.06,1.0
0.065,1.0
0.07,1.0
0.075,1.0
0.08,1.0
0.085,1.0
0.09,1.0
0.095,1.0
0.1,1.0
0.105,1.0
0.11,1.0
0.115,1.0
0.12,1.0
0.125,1.0
0.13,1.0
0.135,1.0
0.14,1.0
0.145,1.0
0.15,1.0
0.155,1.0
0.16,1.0
0.165,1.0
0.17,1.0
0.175,1.0
0.18,1.0
0.185,1.0
0.19,1.0
0.195,1.0
0.2,1.0
0.205,1.0
0.21,1.0
0.215,1.0
0.22,1.0
0.225,1.0
0.23,1.0
0.235,1.0
0.24,1.0
0.245,1.0
0.25,1.0
0.255,1.0
0.26,1.0
0.265,1.0
0.27,1.0
0.275,1.0
0.28,1.0
0.285,0.9824561403508771
0.29,0.9827586206896551
0.295,0.9830508474576272
0.3,0.9833333333333333
0.305,0.9836065573770492
0.31,0.9838709677419355
0.315,0.9841269841269841
0.32,0.984375
0.325,0.9846153846153847
0.33,0.9848484848484849
0.335,0.9850746268656716
0.34,0.9852941176470589
0.345,0.9855072463768116
0.35,0.9857142857142858
0.355,0.9859154929577465
0.36,0.9861111111111112
0.365,0.9863013698630136
0.37,0.9864864864864865
0.375,0.9866666666666667
0.38,0.9868421052631579
0.385,0.987012987012987
0.39,0.9871794871794872
0.395,0.9873417721518988
0.4,0.9875
0.405,0.9876543209876543
0.41,0.9878048780487805
0.415,0.9879518072289156
0.42,0.9880952380952381
0.425,0.9882352941176471
0.43,0.9883720930232558
0.435,0.9885057471264368
0.44,0.9886363636363636
0.445,0.9887640449438202
0.45,0.9888888888888889
0.455,0.989010989010989
0.46,0.9891304347826086
0.465,0.989247311827957
0.47,0.9893617021276596
0.475,0.9894736842105263
0.48,0.9895833333333334
0.485,0.9896907216494846
0.49,0.9897959183673469
0.495,0.98989898989899
0.5,0.99
0.505,0.9900990099009901
0.51,0.9901960784313726
0.515,0.9902912621359223
0.52,0.9903846153846154
0.525,0.9809523809523809
0.53,0.9811320754716981
0.535,0.9813084112149533
0.54,0.9722222222222222
0.545,0.9724770642201835
0.55,0.9727272727272728
0.555,0.963963963963964
0.56,0.9642857142857143
0.565,0.9646017699115044
0.57,0.9649122807017544
0.575,0.9652173913043478
0.58,0.9655172413793104
0.585,0.9658119658119658
0.59,0.9661016949152542
0.595,0.957983193277311
0.6,0.9583333333333334
0.605,0.9586776859504132
0.61,0.9590163934426229
0.615,0.959349593495935
0.62,0.9516129032258065
0.625,0.952
0.63,0.9444444444444444
0.635,0.9448818897637795
0.64,0.9375
0.645,0.9302325581395349
0.65,0.9307692307692308
0.655,0.9312977099236641
0.66,0.9318181818181818
0.665,0.924812030075188
0.67,0.917910447761194
0.675,0.9185185185185185
0.68,0.9117647058823529
0.685,0.9124087591240876
0.69,0.9057971014492754
0.695,0.9064748201438849
0.7,0.9
0.705,0.8936170212765957
0.71,0.8873239436619719
0.715,0.8881118881118881
0.72,0.8819444444444444
0.725,0.8827586206896552
0.73,0.8835616438356164
0.735,0.8775510204081632
0.74,0.8716216216216216
0.745,0.87248322147651
0.75,0.8733333333333333
0.755,0.8741721854304636
0.76,0.868421052631579
0.765,0.869281045751634
0.77,0.8636363636363636
0.775,0.864516129032258
0.78,0.8589743589743589
0.785,0.8598726114649682
0.79,0.8607594936708861
0.795,0.8616352201257862
0.8,0.8625
0.805,0.8633540372670807
0.81,0.8641975308641975
0.815,0.8650306748466258
0.82,0.8597560975609756
0.825,0.8545454545454545
0.83,0.8554216867469879
0.835,0.8562874251497006
0.84,0.8571428571428571
0.845,0.8520710059171598
0.85,0.8529411764705882
0.855,0.847953216374269
0.86,0.8430232558139535
0.865,0.838150289017341
0.87,0.8390804597701149
0.875,0.8342857142857143
0.88,0.8295454545454546
0.885,0.8248587570621468
0.89,0.8202247191011236
0.895,0.8212290502793296
0.9,0.8222222222222222
0.905,0.8176795580110497
0.91,0.8131868131868132
0.915,0.8087431693989071
0.92,0.8043478260869565
0.925,0.8
0.93,0.8010752688172043
0.935,0.7967914438502673
0.94,0.7925531914893617
0.945,0.7883597883597884
0.95,0.7894736842105263
0.955,0.7853403141361257
0.96,0.7864583333333334
0.965,0.7823834196891192
0.97,0.7783505154639175
0.975,0.7794871794871795
0.98,0.7755102040816326
0.985,0.7715736040609137
0.99,0.7727272727272727
0.995,0.7688442211055276
1.0,0.765
