kind,path,condition,n,accuracy,logprob_mean,d_accuracy,d_logprob
condition,tool_useful_distractor,no_tool,50,0.34,-0.087874,,
condition,tool_useful_distractor,tool_useful,50,0.74,-0.048401,,
condition,tool_useful_distractor,tool_useful_distractor,850,0.630588,-0.054029,,
condition,tool_useless,no_tool,50,0.52,-0.020684,,
condition,tool_useless,tool_only,50,0.48,-0.150366,,
condition,tool_useless,tool_useless,50,0.5,-0.148714,,
delta_vs_no_tool,tool_useful_distractor,tool_useful,50,0.74,-0.048401,0.4,0.039473
delta_vs_no_tool,tool_useful_distractor,tool_useful_distractor,850,0.630588,-0.054029,0.290588,0.033845
delta_vs_no_tool,tool_useless,tool_only,50,0.48,-0.150366,-0.04,-0.129682
delta_vs_no_tool,tool_useless,tool_useless,50,0.5,-0.148714,-0.02,-0.12803
distractor_marginal_vs_clean,tool_useful_distractor,"n=1,sim=aligned",50,0.82,-0.038786,0.08,0.009615
distractor_marginal_vs_clean,tool_useful_distractor,"n=1,sim=obvious",50,0.84,-0.04796,0.1,0.000441
distractor_marginal_vs_clean,tool_useful_distractor,"n=2,sim=aligned",50,0.46,-0.070062,-0.28,-0.021661
distractor_marginal_vs_clean,tool_useful_distractor,"n=2,sim=obvious",50,0.48,-0.06112,-0.26,-0.012719
distractor_marginal_vs_clean,tool_useful_distractor,"n=3,sim=aligned",50,0.72,-0.047527,-0.02,0.000874
distractor_marginal_vs_clean,tool_useful_distractor,"n=3,sim=obvious",50,0.54,-0.057331,-0.2,-0.00893
distractor_marginal_vs_clean,tool_useful_distractor,"n=5,sim=aligned",300,0.576667,-0.058308,-0.163333,-0.009907
distractor_marginal_vs_clean,tool_useful_distractor,"n=5,sim=obvious",50,0.66,-0.050298,-0.08,-0.001897
distractor_marginal_vs_clean,tool_useful_distractor,"n=10,sim=aligned",50,0.58,-0.051666,-0.16,-0.003265
distractor_marginal_vs_clean,tool_useful_distractor,"n=10,sim=obvious",50,0.54,-0.050006,-0.2,-0.001605
distractor_marginal_vs_clean,tool_useful_distractor,"n=20,sim=aligned",50,0.8,-0.055989,0.06,-0.007588
distractor_marginal_vs_clean,tool_useful_distractor,"n=20,sim=obvious",50,0.82,-0.037897,0.08,0.010504
